F1,F2,Class,F3,F4
12.69443128,-66.33862312,Tumor,BT_S2,Neoplastic
11.4426449,-63.82074905,Tumor,BT_S2,Neoplastic
8.754740859,-74.47202826,Tumor,BT_S2,Neoplastic
12.37108767,-73.63662387,Tumor,BT_S2,Neoplastic
-12.38276281,-46.62374908,Tumor,BT_S2,Neoplastic
-4.801228559,-53.99147556,Tumor,BT_S2,Neoplastic
10.15732871,-69.07736632,Tumor,BT_S2,Neoplastic
11.41109034,-62.63430867,Tumor,BT_S2,Neoplastic
10.57830463,-72.50365089,Tumor,BT_S2,Neoplastic
-5.69384761,-58.90618038,Tumor,BT_S2,Neoplastic
-11.43126922,-45.85774034,Tumor,BT_S2,Neoplastic
1.176317711,-47.94895094,Tumor,BT_S2,Neoplastic
-7.294965801,-54.0756183,Tumor,BT_S2,Neoplastic
22.31278497,-35.59068018,Tumor,BT_S2,Neoplastic
9.510232306,26.1608979,Tumor,BT_S2,Immune
-6.684617856,-48.80458951,Tumor,BT_S2,Neoplastic
-8.69674222,-56.96375673,Tumor,BT_S2,Neoplastic
7.555271975,-67.83962853,Tumor,BT_S2,Neoplastic
1.776390804,-54.92619768,Tumor,BT_S2,Neoplastic
9.740334701,-64.46125608,Tumor,BT_S2,Neoplastic
-6.611103961,-47.60194983,Tumor,BT_S2,Neoplastic
6.604184346,-65.72539837,Tumor,BT_S2,Neoplastic
16.84164341,-72.16498561,Tumor,BT_S2,Neoplastic
-8.300347351,-62.74509422,Tumor,BT_S2,Neoplastic
13.04188844,-72.68914815,Tumor,BT_S2,Neoplastic
1.871724582,-51.07813026,Tumor,BT_S2,Neoplastic
-4.371459382,-48.80286902,Tumor,BT_S2,Neoplastic
14.5971345,-66.24457826,Tumor,BT_S2,Neoplastic
-4.038082183,-61.59785762,Tumor,BT_S2,Neoplastic
17.83900731,-72.93133341,Tumor,BT_S2,Neoplastic
1.885587628,-51.26970858,Tumor,BT_S2,Neoplastic
-3.909907191,-47.68831446,Tumor,BT_S2,Neoplastic
9.526084987,29.25837194,Tumor,BT_S2,Immune
11.78089561,-61.09394236,Tumor,BT_S2,Neoplastic
-28.07367351,20.09309257,Tumor,BT_S2,Immune
13.41633738,38.86079084,Tumor,BT_S2,Immune
13.06188903,39.06878763,Tumor,BT_S2,Immune
7.183550271,38.37079594,Tumor,BT_S2,Immune
-3.025173276,12.18570154,Tumor,BT_S2,Immune
7.394452219,35.64948357,Tumor,BT_S2,Immune
-5.685066315,17.98530177,Tumor,BT_S2,Immune
-19.05776407,0.703830731,Tumor,BT_S2,Immune
-21.24368638,1.4291237,Tumor,BT_S2,Immune
12.63358425,25.67248696,Tumor,BT_S2,Immune
6.426563215,36.67815703,Tumor,BT_S2,Immune
29.11514364,40.75217394,Tumor,BT_S2,Immune
16.47383586,40.08895315,Tumor,BT_S2,Immune
-11.44039375,4.614673803,Tumor,BT_S2,Immune
-3.228838727,16.23629814,Tumor,BT_S2,Immune
-20.06140824,22.80163887,Tumor,BT_S2,Immune
13.12665937,26.13853715,Tumor,BT_S2,Immune
-20.97761657,5.868572704,Tumor,BT_S2,Immune
-24.40680051,19.49566984,Tumor,BT_S2,Immune
-22.73114671,-2.804459157,Tumor,BT_S2,Immune
-14.94100508,5.963092338,Tumor,BT_S2,Immune
-20.37890456,1.337412416,Tumor,BT_S2,Immune
-20.28103759,23.04618659,Tumor,BT_S2,Immune
5.330703264,43.44278831,Tumor,BT_S2,Immune
-25.54396041,21.04475482,Tumor,BT_S2,Immune
-23.38547463,22.14794781,Tumor,BT_S2,Immune
-24.59815724,23.81807954,Tumor,BT_S2,Immune
11.10815088,34.89760066,Tumor,BT_S2,Immune
-18.8917122,-0.870079225,Tumor,BT_S2,Immune
-13.73224488,3.082201487,Tumor,BT_S2,Immune
-22.10363406,24.53325562,Tumor,BT_S2,Immune
10.06359934,28.77018462,Tumor,BT_S2,Immune
-23.32701724,17.34975968,Tumor,BT_S2,Immune
-19.29350375,0.131097293,Tumor,BT_S2,Immune
-22.05664797,-1.472120881,Tumor,BT_S2,Immune
20.21497123,37.67107142,Tumor,BT_S2,Immune
-20.32442,22.85378246,Tumor,BT_S2,Immune
-6.727002825,24.95618304,Tumor,BT_S2,Immune
-7.433585883,-10.20493104,Tumor,BT_S2,Immune
-26.25364324,21.74625167,Tumor,BT_S2,Immune
-11.76844645,2.957162345,Tumor,BT_S2,Immune
10.00873694,27.38189401,Tumor,BT_S2,Immune
27.03682125,30.51617222,Tumor,BT_S2,Immune
-10.50054172,18.21560186,Tumor,BT_S2,Immune
12.05352592,42.22332786,Tumor,BT_S2,Immune
15.36919758,38.19550046,Tumor,BT_S2,Immune
